Lat,Lon
-41.361,144.609
-41.354,144.618
-41.362,144.611
-41.38,144.585
-41.398,144.549
-41.418,144.513
-41.439,144.478
-41.454,144.457
-41.466,144.464
-41.478,144.499
-41.491,144.552
-41.505,144.605
-41.519,144.659
-41.528,144.714
-41.527,144.762
-41.518,144.8
-41.504,144.832
-41.49,144.864
-41.476,144.897
-41.453,144.928
-41.41,144.954
-41.35,144.978
-41.282,145.004
-41.215,145.033
-41.148,145.065
-41.086,145.095
-41.023,145.108
-40.956,145.109
-40.885,145.107
-40.813,145.108
-40.739,145.113
-40.669,145.126
-40.611,145.15
-40.578,145.186
-40.56,145.227
-40.544,145.27
-40.531,145.312
-40.524,145.358
-40.535,145.412
-40.559,145.474
-40.586,145.537
-40.614,145.599
-40.642,145.663
-40.67,145.714
-40.686,145.741
-40.689,145.752
-40.685,145.758
-40.68,145.765
-40.675,145.772
-40.667,145.775
-40.653,145.776
-40.632,145.78
-40.608,145.789
-40.584,145.799
-40.56,145.81
-40.538,145.823
-40.523,145.831
-40.519,145.828
-40.522,145.819
-40.525,145.811
-40.527,145.803
-40.534,145.792
-40.55,145.774
-40.575,145.752
-40.604,145.729
-40.635,145.708
-40.667,145.688
-40.694,145.671
-40.706,145.661
-40.703,145.654
-40.692,145.65
-40.681,145.646
-40.671,145.642
-40.662,145.634
-40.656,145.62
-40.649,145.605
-40.641,145.591
-40.634,145.577
-40.627,145.563
-40.617,145.56
-40.603,145.567
-40.591,145.582
-40.583,145.6
-40.574,145.618
-40.566,145.638
-40.556,145.661
-40.548,145.693
-40.538,145.73
-40.526,145.767
-40.514,145.804
-40.502,145.841
-40.493,145.862
-40.483,145.861
-40.471,145.839
-40.458,145.807
-40.446,145.775
-40.434,145.743
-40.429,145.712
-40.435,145.691
-40.455,145.68
-40.481,145.675
-40.507,145.669
-40.533,145.661
-40.564,145.637
-40.609,145.583
-40.665,145.507
-40.727,145.425
-40.793,145.342
-40.86,145.261
-40.925,145.191
-40.978,145.14
-41.02,145.107
-41.056,145.082
-41.092,145.058
-41.129,145.036
-41.158,145.018
-41.172,144.997
